SAMPLE,AMP,CENTROID,DURATION
0,-45.548042,4621.054483,109.546485
1,-64.105843,2267.664032,32.312925
2,-46.570283,5592.098003,42.675737
3,-50.074767,4015.169215,37.528345
4,-53.658162,4172.106677,119.251701
5,-60.769904,3028.011885,32.970522
6,-94.064192,4592.585929,24.648526
7,-59.565369,5369.113684,34.489796
8,-59.959565,2776.295946,33.650794
9,-62.787633,2635.100685,32.471655
10,-71.962072,2982.411621,29.750567
11,-65.965925,6578.517491,135.873016
12,-65.981852,4587.094489,31.22449
13,-47.161144,8701.555983,10.3125
14,-82.440688,2098.741438,26.235828
15,-65.131413,2997.181391,31.337868
16,-68.466495,2244.108024,30.022676
17,-70.058169,5302.017856,21.979167
18,-60.21164,1431.203926,25.072917
19,-57.655994,9049.660495,26.4375
20,-101.169153,2727.085124,24.353741
21,-58.841322,1327.126364,27.333333
22,-80.85341,2232.777168,22.041667
23,-66.969033,3215.385728,15.8125
24,-49.968371,4725.729056,10.447917
25,-73.122411,3121.921235,28.29932
26,-64.598222,1459.644305,23.65625
27,-79.586198,3617.159503,21.84375
28,-69.307842,950.401961,23.03125
29,-63.362145,9736.590678,23.958333
30,-49.400052,4125.92053,68.367347
31,-63.396558,2334.114601,32.154195
32,-66.502008,3624.556457,10.291667
33,-71.237448,3286.69108,29.365079
34,-48.866972,2613.744796,39.206349
35,-71.82796,2136.023418,30.045351
36,-63.430904,2851.233787,32.358277
37,-45.991405,10852.73542,25.416667
38,-52.280929,4499.399949,126.689342
39,-66.5069,4258.001312,31.632653
40,-52.43705,5161.166283,124.353741
41,-78.39752,2507.737788,27.39229
42,-45.981863,8963.625998,44.854167
43,-74.05039,2411.436657,29.863946
44,-60.028531,997.195598,25.760417
45,-56.963462,1067.601337,20.927083
46,-49.999808,4264.825253,134.421769
47,-73.331095,2375.730612,28.435374
48,-72.658852,9901.150425,22.666667
49,-57.168291,1320.876053,18.75
50,-127.537664,5927.101644,23.310658
51,-63.485278,9523.493409,23.958333
52,-58.689181,4866.316521,92.086168
53,-63.820934,1226.514347,24.427083
54,-80.205165,1818.607592,22.125
55,-60.954055,7911.359149,137.709751
56,-62.506566,5115.556495,10.260417
57,-84.877568,5816.040132,93.877551
58,-63.742167,1505.764875,17.708333
59,-66.072252,1076.594745,23.989583
60,-93.365534,3144.892025,21.510417
61,-61.446153,6189.392948,102.698413
62,-67.498249,1358.889664,24.0625
63,-99.992888,5870.847071,10.854167
64,-65.540169,1255.345525,25.65625
65,-69.99199,4863.835584,132.902494
66,-61.787772,6303.027195,26.03125
67,-58.767061,1168.736184,19.854167
68,-69.321065,8025.620725,23.354167
69,-49.552213,3599.423402,67.641723
70,-79.362698,8815.70324,22.354167
71,-53.349141,3773.182705,21.302083
72,-67.548644,1486.936534,14.28125
